ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
10198741 8441962 3296 102282 16 8831150 0 0 4466
10198972 8441952 3296 122413 16 8831240 0 0 4466
10198572 8441981 3296 142542 16 8831330 0 0 4466
10198462 8441965 3296 162671 16 8831420 0 0 4466
10198473 8441951 3296 182798 16 8831510 0 0 4471
10198478 8441978 3296 202929 16 8831600 0 0 4466
10198287 8441963 3296 223058 16 8831690 0 0 4471
10198313 8441953 3296 243189 16 8831780 0 0 4471
10197814 8441968 3296 263316 16 8831870 0 0 4471
10197588 8441948 3296 283446 16 8831960 0 0 4471
10197452 8441962 3296 303576 16 8832050 0 0 4471
10197284 8441969 3296 323703 16 8832140 0 0 4471
10197267 8441955 3296 343832 16 8832230 0 0 4471
10197188 8441962 3296 363962 16 8832320 0 0 4471
10197000 8441974 3296 384091 16 8832410 0 0 4471
10197101 8441951 3296 404221 16 8832500 0 0 4471
10197083 8441970 3296 424348 16 8832590 0 0 4471
10197037 8441968 3296 444478 16 8832680 0 0 4471
10197034 8441951 3296 464606 16 8832770 0 0 4471
10196911 8441965 3296 484735 16 8832860 0 0 4471
10196861 8441960 3296 504862 16 8832950 0 0 4471
10196790 8441953 3296 524992 16 8833040 0 0 4471
10196680 8441966 3296 545121 16 8833130 0 0 4471
10196687 8441959 3296 565251 16 8833220 0 0 4471
10196704 8441954 3296 585378 16 8833310 0 0 4471
10196649 8441980 3296 605508 16 8833400 0 0 4471
10196668 8441955 3296 625637 16 8833490 0 0 4471
10196711 8441961 3296 645767 16 8833580 0 0 4471
10196705 8441980 3296 665894 16 8833670 0 0 4471
10196675 8441959 3296 686026 16 8833760 0 0 4471
10196806 8441961 3296 706153 16 8833850 0 0 4471
10196900 8441967 3296 726283 16 8833940 0 0 4471
10196938 8441954 3296 746410 16 8834030 0 0 4471
10197059 8441964 3296 766540 16 8834120 0 0 4471
10197179 8441963 3296 786670 16 8834210 0 0 4471
10197246 8441957 3296 806798 16 8834300 0 0 4471
10197428 8441976 3296 826927 16 8834390 0 0 4471
10197582 8441972 3296 847056 16 8834480 0 0 4471
10197491 8441951 3296 867186 16 8834570 0 0 4471
10197605 8441978 3296 887314 16 8834660 0 0 4471
10197737 8441962 3296 907443 16 8834750 0 0 4471
10197795 8441954 3296 927572 16 8834840 0 0 4471
10198181 8441966 3296 947701 16 8834930 0 0 4471
10198307 8441954 3296 967830 16 8835020 0 0 4471
10198380 8441954 3296 987959 16 8835110 0 0 4471
10198668 8441970 3297 8088 16 8835200 0 0 4471
10198724 8441953 3297 28218 16 8835290 0 0 4471
10198768 8441968 3297 48346 16 8835380 0 0 4471
10199258 8441985 3297 68477 16 8835470 0 0 4471
10199055 8441955 3297 88608 16 8835560 0 0 4471
10199176 8441967 3297 108734 16 8835650 0 0 4471
10199447 8441971 3297 128864 16 8835740 0 0 4471
10199585 8441954 3297 148993 16 8835830 0 0 4471
10200011 8441965 3297 169122 16 8835920 0 0 4471
10200548 8441965 3297 189253 16 8836010 0 0 4471
10200516 8441953 3297 209379 16 8836100 0 0 4471
10200923 8441964 3297 229509 16 8836190 0 0 4471
10201042 8441955 3297 249637 16 8836280 0 0 4471
10200894 8441956 3297 269766 16 8836370 0 0 4471
10201648 8441977 3297 289896 16 8836460 0 0 4471
10201736 8441965 3297 310025 16 8836550 0 0 4471
10201524 8441960 3297 330152 16 8836640 0 0 4471
10201732 8441983 3297 350282 16 8836730 0 0 4471
10201891 8441954 3297 370409 16 8836820 0 0 4471
10202216 8441958 3297 390539 16 8836910 0 0 4471
10202890 8441965 3297 410668 16 8837000 0 0 4471
10202887 8441960 3297 430796 16 8837090 0 0 4471
10203136 8441958 3297 450926 16 8837180 0 0 4471
10203410 8441966 3297 471055 16 8837270 0 0 4471
10203514 8441957 3297 491184 16 8837360 0 0 4471
10203769 8441971 3297 511312 16 8837450 0 0 4471
10204177 8441976 3297 531442 16 8837540 0 0 4471
10203912 8441956 3297 551571 16 8837630 0 0 4471
10204049 8441973 3297 571701 16 8837720 0 0 4471
10204152 8441971 3297 591828 16 8837810 0 0 4471
10204282 8441960 3297 611958 16 8837900 0 0 4471
10204707 8441966 3297 632087 16 8837990 0 0 4471
10204964 8441957 3297 652217 16 8838080 0 0 4471
10205092 8441957 3297 672344 16 8838170 0 0 4471
10205411 8441974 3297 692474 16 8838260 0 0 4471
10205330 8441954 3297 712604 16 8838350 0 0 4471
10205473 8441962 3297 732731 16 8838440 0 0 4471
10205810 8441983 3297 752861 16 8838530 0 0 4471
10205884 8441956 3297 772991 16 8838620 0 0 4471
10205742 8441960 3297 793118 16 8838710 0 0 4471
10206002 8441979 3297 813247 16 8838800 0 0 4471
10206067 8441953 3297 833377 16 8838890 0 0 4471
10206306 8441959 3297 853505 16 8838980 0 0 4471
10206642 8441965 3297 873636 16 8839070 0 0 4471
10206717 8441959 3297 893767 16 8839160 0 0 4471
10206926 8441962 3297 913896 16 8839250 0 0 4471
10207033 8441961 3297 934025 16 8839340 0 0 4471
10207083 8441955 3297 954152 16 8839430 0 0 4471
10207252 8441975 3297 974283 16 8839520 0 0 4471
10207376 8441965 3297 994412 16 8839610 0 0 4471
10207291 8441957 3298 14541 16 8839700 0 0 4471
10207387 8441977 3298 34670 16 8839790 0 0 4471
10207452 8441963 3298 54796 16 8839880 0 0 4471
10207487 8441948 3298 74928 16 8839970 0 0 4471
10207655 8441966 3298 95057 16 8840060 0 0 4471
10207683 8441949 3298 115185 16 8840150 0 0 4471
10207735 8441957 3298 135312 16 8840240 0 0 4471
10207743 8441969 3298 155441 16 8840330 0 0 4471
10207810 8441955 3298 175569 16 8840420 0 0 4471
10207786 8441967 3298 195698 16 8840510 0 0 4471
10207813 8441976 3298 215828 16 8840600 0 0 4471
10207809 8441953 3298 235958 16 8840690 0 0 4471
10207820 8441968 3298 256086 16 8840780 0 0 4471
10207796 8441969 3298 276214 16 8840870 0 0 4471
10207647 8441955 3298 296343 16 8840960 0 0 4471
10207636 8441962 3298 316473 16 8841050 0 0 4471
10207589 8441957 3298 336603 16 8841140 0 0 4471
10207583 8441953 3298 356730 16 8841230 0 0 4471
10207506 8441967 3298 376860 16 8841320 0 0 4471
10207580 8441957 3298 396989 16 8841410 0 0 4471
10207508 8441956 3298 417118 16 8841500 0 0 4471
10207347 8441984 3298 437246 16 8841590 0 0 4471
10207270 8441959 3298 457375 16 8841680 0 0 4471
10207357 8441960 3298 477505 16 8841770 0 0 4471
10207114 8441980 3298 497634 16 8841860 0 0 4471
10207088 8441955 3298 517762 16 8841950 0 0 4471
10206882 8441956 3298 537892 16 8842040 0 0 4471
10206557 8441970 3298 558023 16 8842130 0 0 4471
10206415 8441953 3298 578150 16 8842220 0 0 4471
10206323 8441959 3298 598278 16 8842310 0 0 4471
10205883 8441964 3298 618408 16 8842400 0 0 4471
10206152 8441959 3298 638539 16 8842490 0 0 4471
10205735 8441975 3298 658665 16 8842580 0 0 4471
10205570 8441971 3298 678797 16 8842670 0 0 4471
10205646 8441953 3298 698926 16 8842760 0 0 4471
10205568 8441976 3298 719055 16 8842850 0 0 4471
10205215 8441966 3298 739184 16 8842940 0 0 4471
10205252 8441957 3298 759313 16 8843030 0 0 4471
10204656 8441970 3298 779443 16 8843120 0 0 4471
10204531 8441955 3298 799571 16 8843210 0 0 4471
10204402 8441958 3298 819700 16 8843300 0 0 4471
10204173 8441969 3298 839830 16 8843390 0 0 4471
10204123 8441960 3298 859958 16 8843480 0 0 4471
10204084 8441963 3298 880087 16 8843570 0 0 4471
10203469 8441982 3298 900214 16 8843660 0 0 4471
10203751 8441956 3298 920344 16 8843750 0 0 4471
10203581 8441964 3298 940471 16 8843840 0 0 4471
10203480 8441975 3298 960601 16 8843930 0 0 4471
10203313 8441957 3298 980730 16 8844019 0 0 4466
10202951 8441964 3299 858 16 8844109 0 0 4466
10202161 8441962 3299 20987 16 8844199 0 0 4466
10202418 8441958 3299 41117 16 8844289 0 0 4466
10202105 8441969 3299 61246 16 8844379 0 0 4466
10202013 8441960 3299 81374 16 8844469 0 0 4466
10201938 8441963 3299 101504 16 8844559 0 0 4466
10201565 8441978 3299 121634 16 8844649 0 0 4466
10201281 8441965 3299 141761 16 8844739 0 0 4466
10201464 8441952 3299 161891 16 8844829 0 0 4466
10200939 8441982 3299 182021 16 8844919 0 0 4471
10200870 8441954 3299 202150 16 8845009 0 0 4471
10200522 8441956 3299 222279 16 8845099 0 0 4471
10200027 8441968 3299 242406 16 8845189 0 0 4471
10199800 8441957 3299 262535 16 8845279 0 0 4471
10199801 8441956 3299 282666 16 8845369 0 0 4471
10199332 8441966 3299 302793 16 8845459 0 0 4471
10199568 8441950 3299 322922 16 8845549 0 0 4471
10199203 8441971 3299 343053 16 8845639 0 0 4471
10198842 8441971 3299 363182 16 8845729 0 0 4471
10198769 8441955 3299 383309 16 8845819 0 0 4471
10198813 8441977 3299 403440 16 8845909 0 0 4471
