ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
16777215 8399189 184 859876 16 10574159 0 0 -71533
15768442 8392936 184 880006 16 10572719 0 0 -71533
11600205 8390906 184 900132 16 10571279 0 0 -71534
11642945 8393728 184 920263 16 10569839 0 0 -71533
16104871 8401019 184 940391 16 10568399 0 0 -71534
16777215 8407778 184 960521 16 10566959 0 0 -71534
16777215 8412221 184 980649 16 10565520 0 0 -71529
16777215 8413084 185 777 16 10564080 0 0 -71534
16777215 8409998 185 20906 16 10562639 0 0 -71539
16777215 8403052 185 41036 16 10561200 0 0 -71534
16777215 8396242 185 61164 16 10559760 0 0 -71534
13881102 8391621 185 81292 16 10558320 0 0 -71535
11082386 8391166 185 101421 16 10556880 0 0 -71534
12074893 8394732 185 121551 16 10555440 0 0 -71534
16613524 8401347 185 141679 16 10554001 0 0 -71529
16777215 8407305 185 161810 16 10552561 0 0 -71529
16777215 8412426 185 181938 16 10551121 0 0 -71534
16777215 8412974 185 202068 16 10549681 0 0 -71533
16777215 8409681 185 222196 16 10548241 0 0 -71529
16777215 8402586 185 242324 16 10546801 0 0 -71534
16777215 8395383 185 262455 16 10545361 0 0 -71533
13326381 8391394 185 282583 16 10543921 0 0 -71533
11170251 8391983 185 302711 16 10542481 0 0 -71534
13222328 8396588 185 322840 16 10541041 0 0 -71534
16777215 8404303 185 342971 16 10539601 0 0 -71538
16777215 8410220 185 363099 16 10538162 0 0 -71534
16777215 8413172 185 383228 16 10536722 0 0 -71534
16777215 8410923 185 403357 16 10535282 0 0 -71534
16777215 8404098 185 423486 16 10533842 0 0 -71534
16777215 8396487 185 443614 16 10532402 0 0 -71534
14045060 8391779 185 463745 16 10530962 0 0 -71534
11229356 8391578 185 483873 16 10529522 0 0 -71534
12694532 8395454 185 504003 16 10528082 0 0 -71533
16777215 8401473 185 524131 16 10526642 0 0 -71533
16777215 8409006 185 544263 16 10525202 0 0 -71533
16777215 8412684 185 564391 16 10523763 0 0 -71533
16777215 8412680 185 584520 16 10522323 0 0 -71533
16777215 8408553 185 604649 16 10520883 0 0 -71533
16777215 8400905 185 624777 16 10519443 0 0 -71533
16777215 8394382 185 644907 16 10518003 0 0 -71533
12585273 8391056 185 665037 16 10516563 0 0 -71533
11265441 8392601 185 685165 16 10515123 0 0 -71533
14358502 8398309 185 705294 16 10513683 0 0 -71533
16777215 8404922 185 725425 16 10512243 0 0 -71533
16777215 8411590 185 745550 16 10510804 0 0 -71529
16777215 8413149 185 765681 16 10509364 0 0 -71534
16777215 8409468 185 785808 16 10507924 0 0 -71535
16777215 8403319 185 805937 16 10506484 0 0 -71534
16777215 8396318 185 826065 16 10505044 0 0 -71534
14217791 8392056 185 846195 16 10503604 0 0 -71534
11304899 8390899 185 866324 16 10502164 0 0 -71535
11551967 8393572 185 886451 16 10500724 0 0 -71535
15059616 8399163 185 906582 16 10499285 0 0 -71529
16777215 8406253 185 926710 16 10497845 0 0 -71530
16777215 8411681 185 946840 16 10496405 0 0 -71534
16777215 8413250 185 966970 16 10494965 0 0 -71534
16777215 8409958 185 987099 16 10493525 0 0 -71533
16777215 8404524 186 7227 16 10492085 0 0 -71534
16777215 8397273 186 27355 16 10490645 0 0 -71534
14592744 8392278 186 47486 16 10489205 0 0 -71533
11360507 8390964 186 67614 16 10487766 0 0 -71529
11721781 8393933 186 87742 16 10486326 0 0 -71528
15715991 8400035 186 107873 16 10484886 0 0 -71533
16777215 8406754 186 128002 16 10483446 0 0 -71533
16777215 8411977 186 148132 16 10482006 0 0 -71533
16777215 8413239 186 168260 16 10480566 0 0 -71534
16777215 8410463 186 188388 16 10479126 0 0 -71534
16777215 8405143 186 208516 16 10477686 0 0 -71534
16777215 8397495 186 228646 16 10476246 0 0 -71533
15052297 8392671 186 248774 16 10474806 0 0 -71534
11593407 8390821 186 268903 16 10473366 0 0 -71539
11520532 8393467 186 289034 16 10471926 0 0 -71538
15296658 8399451 186 309163 16 10470487 0 0 -71534
16777215 8406000 186 329291 16 10469047 0 0 -71534
16777215 8411061 186 349423 16 10467607 0 0 -71533
16777215 8413238 186 369551 16 10466167 0 0 -71533
16777215 8411367 186 389681 16 10464727 0 0 -71532
16777215 8406728 186 409809 16 10463287 0 0 -71532
16777215 8398922 186 429937 16 10461847 0 0 -71533
16076272 8393533 186 450067 16 10460407 0 0 -71533
12147192 8390970 186 470195 16 10458967 0 0 -71533
11314641 8392892 186 490326 16 10457528 0 0 -71528
14715673 8398613 186 510454 16 10456088 0 0 -71533
16777215 8405170 186 530582 16 10454648 0 0 -71533
16777215 8411003 186 550710 16 10453208 0 0 -71534
16777215 8413194 186 570841 16 10451768 0 0 -71533
16777215 8411259 186 590968 16 10450328 0 0 -71535
16777215 8406616 186 611097 16 10448888 0 0 -71534
16777215 8399273 186 631225 16 10447448 0 0 -71534
16237959 8393762 186 651354 16 10446009 0 0 -71530
12250140 8391021 186 671484 16 10444569 0 0 -71529
11182353 8392314 186 691612 16 10443129 0 0 -71535
14205564 8398090 186 711742 16 10441689 0 0 -71534
16777215 8405030 186 731870 16 10440249 0 0 -71534
16777215 8410963 186 752002 16 10438809 0 0 -71533
16777215 8413169 186 772130 16 10437369 0 0 -71534
16777215 8410692 186 792259 16 10435929 0 0 -71533
16777215 8405575 186 812387 16 10434489 0 0 -71534
16777215 8397451 186 832516 16 10433050 0 0 -71528
14558012 8392250 186 852645 16 10431610 0 0 -71533
11369241 8391280 186 872773 16 10430170 0 0 -71534
12180803 8394608 186 892903 16 10428730 0 0 -71533
16162048 8400655 186 913033 16 10427290 0 0 -71533
16777215 8407674 186 933161 16 10425850 0 0 -71533
16777215 8412448 186 953290 16 10424410 0 0 -71534
16777215 8412865 186 973418 16 10422970 0 0 -71534
16777215 8408771 186 993549 16 10421530 0 0 -71533
16777215 8402986 187 13677 16 10420091 0 0 -71528
16777215 8395733 187 33806 16 10418650 0 0 -71539
13761473 8391881 187 53934 16 10417210 0 0 -71539
11235348 8391252 187 74064 16 10415771 0 0 -71533
12297916 8394890 187 94192 16 10414331 0 0 -71534
16471146 8400978 187 114323 16 10412891 0 0 -71534
16777215 8408037 187 134451 16 10411451 0 0 -71534
16777215 8412536 187 154583 16 10410011 0 0 -71533
16777215 8412981 187 174711 16 10408571 0 0 -71533
16777215 8409100 187 194840 16 10407131 0 0 -71533
16777215 8403201 187 214968 16 10405691 0 0 -71538
16777215 8395323 187 235099 16 10404251 0 0 -71533
13003357 8391215 187 255227 16 10402812 0 0 -71528
11057901 8391475 187 275355 16 10401372 0 0 -71533
