wavelength_nm,transmission_percent,transmission_smoothed_percent,pixel_x,pixel_y
581.6211380237061,-0.8381436910935207,-0.8179056373949465,601,416
581.7762703443457,-0.8381436910935207,-0.8229651508195905,602,416
581.9314026649853,-0.8381436910935207,-0.8477005497845174,603,416
582.0865349856249,-0.8381436910935207,-0.9067282064053654,604,416
582.2416673062645,-0.8381436910935207,-0.9488908182773997,605,416
582.3967996269041,-1.0793138310015564,-0.9741883854006204,606,417
582.5519319475437,-1.0793138310015564,-0.9826209077750273,607,417
582.7070642681833,-1.0793138310015564,-0.9741883854006204,608,417
582.8621965888229,-0.8381436910935207,-0.9488908182773997,609,416
583.0173289094625,-0.8381436910935207,-0.9067282064053654,610,416
583.1724612301022,-0.8381436910935207,-0.8477005497845174,611,416
583.3275935507418,-0.8381436910935207,-0.8229651508195905,612,416
583.4827258713814,-0.8381436910935207,-0.8179056373949465,613,416
583.637858192021,-0.8381436910935207,-0.8381436910935229,614,416
583.7929905126606,-0.8381436910935207,-0.8381436910935229,615,416
583.9481228333002,-0.8381436910935207,-0.8381436910935229,616,416
584.1032551539398,-0.8381436910935207,-0.8381436910935229,617,416
584.2583874745794,-0.8381436910935207,-0.8381436910935229,618,416
584.413519795219,-0.8381436910935207,-0.8381436910935229,619,416
584.5686521158586,-0.8381436910935207,-0.8381436910935229,620,416
584.7237844364981,-0.8381436910935207,-0.8381436910935229,621,416
584.8789167571379,-0.8381436910935207,-0.8381436910935229,622,416
585.0340490777774,-0.8381436910935207,-0.8381436910935229,623,416
585.189181398417,-0.8381436910935207,-0.8381436910935229,624,416
585.3443137190566,-0.8381436910935207,-0.8381436910935229,625,416
585.4994460396962,-0.8381436910935207,-0.8381436910935229,626,416
585.6545783603358,-0.8381436910935207,-0.8381436910935229,627,416
585.8097106809754,-0.8381436910935207,-0.8381436910935229,628,416
585.964843001615,-0.8381436910935207,-0.8381436910935229,629,416
586.1199753222546,-0.8381436910935207,-0.8381436910935229,630,416
586.2751076428942,-0.8381436910935207,-0.8381436910935229,631,416
586.4302399635338,-0.8381436910935207,-0.8381436910935229,632,416
586.5853722841734,-0.8381436910935207,-0.8381436910935229,633,416
586.740504604813,-0.8381436910935207,-0.8381436910935229,634,416
586.8956369254527,-0.8381436910935207,-0.8381436910935229,635,416
587.0507692460923,-0.8381436910935207,-0.8381436910935229,636,416
587.2059015667319,-0.8381436910935207,-0.8381436910935229,637,416
587.3610338873715,-0.8381436910935207,-0.8381436910935229,638,416
587.5161662080111,-0.8381436910935207,-0.8381436910935229,639,416
587.6712985286507,-0.8381436910935207,-0.8381436910935229,640,416
587.8264308492903,-0.8381436910935207,-0.8381436910935229,641,416
587.9815631699299,-0.8381436910935207,-0.8381436910935229,642,416
